Z1,Z2,Z3,A,Y
1.6243453636632417,-0.9247552836219403,-0.12247390649231384,1,1
-0.6117564136500754,1.1288898954126776,0.22816981878813106,0,0
-0.5281717522634558,-1.1287912685853583,-0.3523051302219441,1,1
-1.0729686221561705,-0.7247376220830969,-0.8305534427050055,1,1
0.8654076293246785,0.6235712087829979,-0.26108981581216567,0,1
-2.3015386968802827,1.4379664640750502,0.16935422781702056,0,0
1.74481176421648,0.27414184281596565,0.6736230984302903,1,1
-0.7612069008951028,-0.504469014659869,-0.3272016053130162,1,0
0.31903909605709857,1.1066709960295764,-0.30529914689534754,0,1
-0.2493703754774101,0.6933041049759342,0.5248653316849049,1,0
1.462107937044974,0.36737233297880056,-0.5841869238489495,0,1
-2.060140709497654,-1.5407447580984341,-0.22775227185163394,0,0
-0.3224172040135075,0.11761960815369643,-0.5329070339101296,1,1
-0.38405435466841564,-0.8057821781274208,-0.8003680578104004,0,0
1.1337694423354374,-1.5692832179095961,1.0296515067103917,1,1
-1.0998912673140309,-0.29978811585220494,-0.6597221436708939,0,1
-0.17242820755043575,1.9262717980649213,-0.046137744909296986,0,0
-0.8778584179213718,0.8178126801323585,0.2115140274988792,0,0
0.04221374671559283,0.04050350937737673,-0.6281145093506935,0,1
0.5828152137158222,0.05899341817397556,0.6113076183863376,1,0
-1.1006191772129212,-0.04788035679139581,0.468166043710788,0,1
1.1447237098396141,0.3985690275944479,0.7946458590807424,1,1
0.9015907205927955,-0.26685916519882474,0.4703127142247418,1,1
0.5024943389018682,-1.0640323155862415,0.8941255281358907,0,1
0.9008559492644115,-0.622443574131313,1.5199155105064162,0,1
-0.683727859174333,0.6296247277909975,-1.7907917857243605,1,0
-0.12289022551864817,0.4825733986907914,1.0880924542961703,0,0
-0.9357694342590688,-1.0729488422576876,1.5168463174049684,0,1
-0.2678880796260159,-0.12052560972826515,0.14988602896562478,0,0
0.530355466738186,0.5937993528288665,1.0612656831915124,1,1
-0.691660751725309,-0.7965464832482338,-0.3843170982937752,1,1
-0.39675352685597737,1.633058170705299,1.1111896264876386,0,0
-0.6871727001195994,-0.8911101782323646,-0.8316506775426568,0,0
-0.8452056414987196,-0.3646293173026045,-0.4524089307512544,0,0
-0.671246130836819,1.6819206640900952,0.3868060218153236,0,1
-0.01266459891890136,-0.40813368419963664,0.19186089759260833,1,1
-1.1173103486352778,-1.4782532815340013,0.008914961049731421,0,0
0.23441569781709215,-0.8105884917256287,-1.7363498526199959,1,1
1.6598021771098705,-0.7057039517855964,-1.2518006207407733,1,0
0.7420441605773356,0.9054337894508467,-0.6462164056645368,0,0
-0.19183555236161492,0.2887554496171309,-0.9069225338804368,0,0
-0.8876289640848363,-0.14549415888974543,0.791953386433848,0,1
-0.7471582937508376,-0.07407558316983384,-1.2974018846668423,0,0
1.6924546010277466,0.17425317077233285,0.2525442955376162,1,1
0.05080775477602897,1.3328295369252472,-1.0672125772523526,0,0
-0.6369956465693534,-0.3858664157737348,-0.5996776999375955,1,1
0.19091548466746602,-0.7820707445438677,-1.271360744502283,1,1
